# form	lemma	pos	features
ждать	ждать	VERB	verb_form=infinitive|aspect=impf
дождаться	дождаться	VERB	verb_form=infinitive|aspect=perf
достичь	достичь	VERB	verb_form=infinitive|aspect=perf
добиться	добиться	VERB	verb_form=infinitive|aspect=perf
управлять	управлять	VERB	verb_form=infinitive|aspect=impf
руководить	руководить	VERB	verb_form=infinitive|aspect=impf
владеть	владеть	VERB	verb_form=infinitive|aspect=impf
пользоваться	пользоваться	VERB	verb_form=infinitive|aspect=impf
оплатить	оплатить	VERB	verb_form=infinitive|aspect=perf
оплачивать	оплачивать	VERB	verb_form=infinitive|aspect=impf
проверить	проверить	VERB	verb_form=infinitive|aspect=perf
проверять	проверять	VERB	verb_form=infinitive|aspect=impf
читать	читать	VERB	verb_form=infinitive|aspect=impf
исправить	исправить	VERB	verb_form=infinitive|aspect=perf
исправлять	исправлять	VERB	verb_form=infinitive|aspect=impf
помочь	помочь	VERB	verb_form=infinitive|aspect=perf
помогать	помогать	VERB	verb_form=infinitive|aspect=impf
мешать	мешать	VERB	verb_form=infinitive|aspect=impf
доверять	доверять	VERB	verb_form=infinitive|aspect=impf
угрожать	угрожать	VERB	verb_form=infinitive|aspect=impf
следовать	следовать	VERB	verb_form=infinitive|aspect=impf
говорить	говорить	VERB	verb_form=infinitive|aspect=impf
рассказывать	рассказывать	VERB	verb_form=infinitive|aspect=impf
думать	думать	VERB	verb_form=infinitive|aspect=impf
заботиться	заботиться	VERB	verb_form=infinitive|aspect=impf
надеяться	надеяться	VERB	verb_form=infinitive|aspect=impf
рассчитывать	рассчитывать	VERB	verb_form=infinitive|aspect=impf
верить	верить	VERB	verb_form=infinitive|aspect=impf
участвовать	участвовать	VERB	verb_form=infinitive|aspect=impf
ответа	ответ	NOUN	gender=masc|number=sing|case=gen|animacy=inan
ответу	ответ	NOUN	gender=masc|number=sing|case=dat|animacy=inan
проект	проект	NOUN	gender=masc|number=sing|case=acc|animacy=inan
проекту	проект	NOUN	gender=masc|number=sing|case=dat|animacy=inan
проектом	проект	NOUN	gender=masc|number=sing|case=ins|animacy=inan
проекте	проект	NOUN	gender=masc|number=sing|case=prep|animacy=inan
задаче	задача	NOUN	gender=fem|number=sing|case=prep|animacy=inan
задачу	задача	NOUN	gender=fem|number=sing|case=acc|animacy=inan
что	что	CONJ	indecl
