# lemma	complement_kind	preposition	valid_text	invalid_text	invalid_excerpt
ждать	direct_object		ждать ответа	ждать ответу	ждать ответу
дождаться	direct_object		дождаться ответа	дождаться ответу	дождаться ответу
достичь	direct_object		достичь ответа	достичь ответу	достичь ответу
добиться	direct_object		добиться ответа	добиться ответу	добиться ответу
управлять	direct_object		управлять проектом	управлять проекту	управлять проекту
руководить	direct_object		руководить проектом	руководить проекту	руководить проекту
владеть	direct_object		владеть проектом	владеть проекту	владеть проекту
пользоваться	direct_object		пользоваться проектом	пользоваться проекту	пользоваться проекту
оплатить	direct_object		оплатить проект	оплатить проекту	оплатить проекту
оплачивать	direct_object		оплачивать проект	оплачивать проекту	оплачивать проекту
проверить	direct_object		проверить проект	проверить проекту	проверить проекту
проверять	direct_object		проверять проект	проверять проекту	проверять проекту
читать	direct_object		читать проект	читать проекту	читать проекту
исправить	direct_object		исправить проект	исправить проекту	исправить проекту
исправлять	direct_object		исправлять проект	исправлять проекту	исправлять проекту
помочь	direct_object		помочь проекту	помочь проектом	помочь проектом
помогать	direct_object		помогать проекту	помогать проектом	помогать проектом
мешать	direct_object		мешать проекту	мешать проектом	мешать проектом
доверять	direct_object		доверять проекту	доверять проектом	доверять проектом
угрожать	direct_object		угрожать проекту	угрожать проектом	угрожать проектом
следовать	direct_object		следовать проекту	следовать проектом	следовать проектом
говорить	prepositional_object	о	говорить о задаче	говорить о задачу	говорить о задачу
рассказывать	prepositional_object	о	рассказывать о задаче	рассказывать о задачу	рассказывать о задачу
думать	prepositional_object	о	думать о задаче	думать о задачу	думать о задачу
заботиться	prepositional_object	о	заботиться о задаче	заботиться о задачу	заботиться о задачу
надеяться	prepositional_object	на	надеяться на проект	надеяться на проекте	надеяться на проекте
рассчитывать	prepositional_object	на	рассчитывать на проект	рассчитывать на проекте	рассчитывать на проекте
верить	prepositional_object	в	верить в проект	верить в проекте	верить в проекте
участвовать	prepositional_object	в	участвовать в проекте	участвовать в проект	участвовать в проект
